'74', 'Slots', 'slots'
'75', 'Table Games', 'classic'
'76', 'Poker Games', 'poker'
'78', 'Fun Games', 'fun'
'79', 'Bingo', 'ball'
'81', 'Scratch Cards', 'scratch'
'82', 'Virtual Games', 'virtual'
'135', 'Favourite', 'favourite'
'233', 'Poker', 'poker'
'234', 'Fun', 'fun'
'235', 'Ball', 'ball'
'236', 'New', 'new'
'237', 'Scratch Cards', 'scratch'
'238', 'Virtual', 'virtual'
'240', 'Jackpots', 'jackpots'
'241', 'Slots', 'slots'
'242', 'Classic Games', 'classic'
'243', 'Poker Games', 'poker'
'245', 'Fun Games', 'fun'
'246', 'Ball Games', 'ball'
'248', '3D Scratch Cards', 'scratch'
'249', 'Virtual Games', 'virtual'
'251', 'Slot Games', 'mobile'
'277', 'Slots', 'slots'
'279', 'Poker', 'poker'
'282', 'Ball Games', 'ball'
'284', 'Scratch Cards', 'scratch'
'288', 'Progressive Jackpots', 'jackpots'
'289', 'Table Games', 'table'
'290', 'Popular', 'popular'
'344', 'Classic Slots', 'classicslots'
'360', 'Top Games', 'top'
'377', 'Jackpots', 'Jackpots'
'385', 'New Games', 'new'
'388', 'Popular', 'popular'
'451', 'Popular', 'mobilepopular'
'452', 'Video Slots', 'mobileslots'
'453', 'Poker', 'mobilepoker'
'454', 'Table Games', 'mobiletable'
'525', 'Live Casino', 'live'
'531', 'Bingo Games', 'mobilebingo'
'533', 'Top Pokies', 'mobilepopular'
'557', 'Popular Games', 'popularmobile'
'578', 'Slots', 'slots'
'579', 'Table', 'classic'
'580', 'Poker', 'poker'
'581', 'Fun', 'fun'
'582', 'Ball', 'ball'
'583', 'New', 'new'
'585', 'Virtual', 'virtual'
'586', 'Slot Games', 'mobile'
'587', 'Top Games', 'top'
'588', 'Table Games', 'mobiletable'
'590', 'Most Popular', 'mobilepopular'
'593', 'Top Games', 'mobilepopular'
'594', 'Slot Games', 'mobile-slots'
'596', ' Bingo Games', 'mobilebingo'
'612', 'Jackpots', 'jackpots'
'635', 'Slots', 'slots'
'636', 'Table', 'classic'
'637', 'Poker', 'poker'
'638', 'Fun', 'fun'
'640', 'New', 'new'
'641', 'Scratch Cards', 'scratch'
'642', 'Virtual', 'virtual'
